address,name,kind,comment
0x419CD8,start_end_build,func,"VERIFIED-STATIC (B8, issue #16). 0x7FE920 (start end) = B_st && (0x7FD058 & 1); 0x7FD05B counts cycles since then; B_stend 0x7FE921 = 0x7FD05B > 3. re/findings/start.md section 4."
0x0D0DFC,afterstart_timer,func,"VERIFIED-STATIC (B8, issue #16). Increments the u16 after-start timer 0x8011D8 while the engine turns (0x7FE91F), saturating at 0xFFFF, and clears 0x7FE920/0x7FE921/0x7FE91D/0x7FD05B whenever 0x7FEAD0 is set. Also the two start-speed threshold curves 0x7FD059/0x7FD05A. re/findings/start.md section 4."
0x0BD6E8,engine_running_detect,func,"VERIFIED-STATIC (B8, issue #16). Writes 0x7FEAD0 (engine not running) / 0x7FEAD1 from the speed-signal counter 0x7FCE98 and the segment period 0x7FD68C against 200000000 / KAL(0x5C866C). 0x7FEAD0 is what latches tmst. re/findings/start.md sections 2 and 4."
0x41AF7C,stadap_kstaa,func,"VERIFIED-STATIC (B8, issue #16). %STADAP start-quantity adaptation. Maintains the adaptation bytes 0x7FD278/0x7FD279/0x7FD27A behind the state word 0x801D2E and publishes kstaa = 0x7FD27B at 0x41B6B0 (u8, 128 = 1.0), which esstt_ksta multiplies ksta by. re/findings/start.md section 3.2."
0x802096,zwstt,var,"VERIFIED-DYNAMIC (B8, issue #16). Start ignition angle, s8, 0.75 deg CA per LSB. While 0x7FECCA (B_stend) is clear this byte REPLACES the whole per-bank angle in zwbas_per_bank (0x41D10C) - zwgru, the bank offsets and the knock retard are all bypassed. Written by zwstt_build at 0x431384. re/findings/start.md section 5."
0x803028,ksta,var,"VERIFIED-DYNAMIC (B8, issue #16). Start quantity factor before the start adaptation, u16, 1024 = 1.0. Written by esstt_ksta / esstt_ksta_hdr. re/findings/start.md section 3.2."
0x80302A,ksta_kfkstt_kfwkstt,var,"VERIFIED-DYNAMIC (B8, issue #16). Intermediate KFKSTT * KFWKSTT >> 7, u16, 1024 = 1.0. re/findings/start.md section 3.2."
0x80302C,ksta_adapted,var,"VERIFIED-DYNAMIC (B8, issue #16). ksta * kstaa, u16, 1024 = 1.0; forced to 0x400 outside the start. THE cranking flex-fuel lever (insertion point S1): the sth at 0x41A680 and 0x41A808. Consumed by gk_rk at 0x41AA84. re/findings/start.md section 3.3."
0x803020,mixture_running,var,"VERIFIED-STATIC (B8, issue #16). Mixture factor for the running engine, u16 Q12 (4096 = 1.0), written by mixture_running_build at 0x41A250 and consumed by gk_rk on the 0x7FEA33 != 0 branch. Insertion point S2. re/findings/start.md section 4.2."
0x8021F6,tmst,var,"VERIFIED-STATIC (B8, issue #16). Engine temperature latched at start, u8, 0.75 degC per LSB with offset -48 degC. One writer (0x5BBAC, gated by 0x7FEAD0), ~40 readers; the y axis of every start map. re/findings/start.md section 2."
0x8021F1,tmst_raw,var,"VERIFIED-STATIC (B8, issue #16). Raw copy of tmot latched at the same moment as tmst (stb at 0x5BB90); tmst takes the modelled/substituted value instead. re/findings/start.md section 2."
0x802228,tmot_w,var,"VERIFIED-STATIC (B8, issue #16). Coolant temperature, u16, 0.75/256 degC per LSB with offset -48 degC; tmot (0x8021EF) is its high byte. Written by tmot_task (0x4324DC). re/findings/start.md section 1."
0x8011D8,tnst_w,var,"VERIFIED-STATIC (B8, issue #16). After-start timer, u16, incremented by afterstart_timer (0x0D0E54) while the engine turns, saturating at 0xFFFF, reset only at power-up. 25 readers across the rail-pressure, catalyst, idle and diagnosis modules. re/findings/start.md section 4."
0x7FE91D,B_st,var,"VERIFIED-STATIC (B8, issue #16). Start attempt active. Written by start_flag_build (0x419CAC). re/findings/start.md section 4."
0x7FE920,B_stend_raw,var,"VERIFIED-STATIC (B8, issue #16). Start end reached = B_st && (0x7FD058 & 1). Written by start_end_build (0x419D00); also selects the gk_rk branch through 0x7FEA33. re/findings/start.md section 4."
0x7FE921,B_stend,var,"VERIFIED-STATIC (B8, issue #16). Start finished, four cycles after 0x7FE920. Forces ksta_adapted to 1.0 in esstt_ksta and, through its copy 0x7FECCA, ends the zwstt ignition override. re/findings/start.md section 4."
0x7FECCA,B_stend_seg,var,"VERIFIED-STATIC (B8, issue #16). Copy of B_stend sampled into the segment task at 0x422A60-0x422A68. Gates zwstt_build and the zwstt override in zwbas_per_bank. re/findings/start.md section 5."
0x7FEAD0,B_not_running,var,"VERIFIED-STATIC (B8, issue #16). Engine not running (off, cranking or stalled). Written by engine_running_detect (0x0BD6E8); latches tmst and clears the whole start state. re/findings/start.md sections 2 and 4."
0x7FD269,anztist,var,"VERIFIED-DYNAMIC (B8, issue #16). Injections since start = clamp(0x7FD298 - 0x7FD26B, 0, 255); the x axis of KFWKSTT. re/findings/start.md section 3.2."
0x7FD26B,anztist_at_start,var,"VERIFIED-STATIC (B8, issue #16). Injection counter latched at start (0x41A6B8 / 0x41A820). re/findings/start.md section 3.2."
0x7FD298,injection_counter,var,"VERIFIED-STATIC (B8, issue #16). Free-running injection counter, u8, incremented at 0x41C2C4. re/findings/start.md section 3.2."
0x7FD27B,kstaa,var,"VERIFIED-DYNAMIC that this is the u8 Q7 (128 = 1.0) multiplier applied to ksta (tests/test_start_model.py); HYPOTHESIS for the FR name kstaa. Published by stadap_kstaa at 0x41B6B0. (B8, issue #16). re/findings/start.md section 3.2."
0x7FCE14,zdgz,var,"VERIFIED-STATIC (B8, issue #16). Ignition count since start, u8 truncation of the u16 counter 0x7FEDA0 (incremented at 0x0ACC1C, copied at 0x0ACC24). The y axis of KFZWSTT. re/findings/start.md section 5."
0x7FEDA0,zdgz_w,var,"VERIFIED-STATIC (B8, issue #16). u16 ignition counter since start; its low byte is zdgz (0x7FCE14). re/findings/start.md section 5."
0x7FD271,eta_mean,var,"VERIFIED-STATIC (B8, issue #16). Mean efficiency demand of the torque coordinator, u8, 128 = 1.0 (= 0x803042 >> 5). x axis of the warm-up ignition map 0x5C76D5. re/findings/start.md section 5.1."
0x803042,eta_mean_w,var,"VERIFIED-STATIC (B8, issue #16). Mean efficiency demand, u16, 4096 = 1.0; drives zw_eta_offset (0x4362D4) and eta_mean. re/findings/start.md section 5.1."
0x7FED38,rl_for_fuel,var,"VERIFIED-STATIC (B8, issue #16). Relative charge used by gk_rk, u16, 4096 = 100 %; selected at 0x418A3C from rl_w (0x7FEFB2) and two alternatives. re/findings/start.md section 3.3."
0x801CF2,fgru_trim,var,"VERIFIED-STATIC (B8, issue #16). Tester mixture trim in Q7 (128 = 1.0), = mul_q15(K(0x5D350C)=128, (0x7FD066 << 6) + 0x6000) clamped to 255, i.e. 0.75 + n/512. 0x7FD066 has no code writer; it is only reachable through the tester pointer table at 0x0A3ADC. re/findings/start.md section 4.1."
0x5C6E24,KFKSTT,const,"VERIFIED-DYNAMIC (B8, issue #16). Start quantity factor f(tmst, prist), 12 rows x 2 cols, u16, 1024 = 1.0 (24.8 at -32 degC down to 1.85 at 100 degC). Axes 0x5C6E14 (12 u8 tmst) and 0x5C6E20 (2 u16 prist = 1000/4000); ny/nx bytes 0x5C6E12/0x5C6E13. re/findings/start.md section 3.1."
0x5C6C7C,KFWKSTT,const,"VERIFIED-DYNAMIC (B8, issue #16). Decay of the start enrichment over the injection count, 12 rows (tmst) x 14 cols (anztist), u8, 128 = 1.0. Self-describing struct at 0x5C6C60; axes 0x5C6C62 and 0x5C6C6E. re/findings/start.md section 3.1."
0x5C6C50,KFWKSTN,const,"VERIFIED-DYNAMIC (B8, issue #16). Speed weighting of the start factor f(tmst, nmot), 4x4 u8, 256 = 1.0; all sixteen cells are 255, i.e. the map is off. Struct 0x5C6C46; axes 0x5C6C48 (tmst) and 0x5C6C4C (nmot, 40 rpm/LSB). re/findings/start.md section 3.1."
0x5C6D40,KFWKSTTHDR,const,"HYPOTHESIS (B8, issue #16). High-pressure-start twin of KFWKSTT, 12 x 14 u8, struct 0x5C6D24, read only by esstt_ksta_hdr at 0x41A6FC. re/findings/start.md section 3.1."
0x5C6E66,KFKSTTHDR,const,"HYPOTHESIS (B8, issue #16). High-pressure-start twin of KFKSTT, 12 x 2 u8, axes 0x5C6E56 / 0x5C6E62, read only by esstt_ksta_hdr at 0x41A720. re/findings/start.md section 3.1."
0x5C7B64,KFZWSTT,const,"VERIFIED-DYNAMIC (B8, issue #16). Start ignition angle f(zdgz, tmst), 8 rows (zdgz 0,3,5,7,8,9,11,12) x 8 cols (tmst -30..90 degC), s8 at 0.75 deg CA per LSB: -66 counts = -49.5 deg at the first fire of a -30 degC start, -4 counts at 90 degC. Axes 0x5C7B54 / 0x5C7B5C; ny/nx 0x5C7B52 / 0x5C7B53. re/findings/start.md section 5."
0x5C7B23,KFZWSTN,const,"VERIFIED-DYNAMIC (B8, issue #16). Speed term added to zwstt, 3 rows (nmot 200/400/600 rpm) x 6 cols (tmst), s8; all zero in this dataset. Axes 0x5C7B1A / 0x5C7B1D. re/findings/start.md section 5."
0x5C7B40,cand_KFZWSTT2,const,"HYPOTHESIS (B8, issue #16). Alternative start-angle map used when 0x7FCE0C bit 1 is set, 3 (nmot) x 6 (tmst) s8, axes 0x5C7B37 / 0x5C7B3A. re/findings/start.md section 5."
0x5C7BAB,cand_KLZWSTT,const,"HYPOTHESIS (B8, issue #16). 1D s8 term added to zwstt over RAM 0x7FD3E5, 6 points on axis 0x5C7BA5; all zero in this dataset. re/findings/start.md section 5."
0x5C76D5,cand_KFZWETA,const,"HYPOTHESIS (B8, issue #16). 8 (nmot, 40 rpm/LSB, axis 0x5C76C1) x 12 (efficiency 0.65..1.20, axis 0x5C76C9) s8 ignition correction; its result 0x7FD313 is one of the two terms zwgru_build adds, and it is how the warm-up / catalyst-heating retard reaches the ignition angle. re/findings/start.md section 5.1."
0x5D3745,cand_KFWKST_EEC,const,"HYPOTHESIS (B8, issue #16). 6 (tmst) x 4 u8 weighting (128 = 1.0) over RAM 0x800EEC, the last factor of ksta. Struct 0x5D3739. re/findings/start.md section 3.1."
0x5C6E8C,cand_KFWKSTAB,const,"HYPOTHESIS (B8, issue #16). 4x4 u8 repeat-start weighting f(0x80218C, tmst) used only on the 0x7FEA29 branch of esstt_ksta (call 0x41A544). re/findings/start.md section 3.1."
0x5C6F0C,cand_CWKSTA,const,"VERIFIED-STATIC (B8, issue #16). Codeword byte = 0x80; bit 3 clear means esstt_ksta floors ksta at 1.0 (0x400) before multiplying by kstaa. re/findings/start.md section 3."
0x5D770E,tmot_sensor_curve,const,"VERIFIED-STATIC (B8, issue #16). Coolant-sensor characteristic, self-describing u16 curve over the raw ADC word 0x80345A, read by tmot_task. The substitute curve is 0x5D76BC. re/findings/start.md section 1."
